"Video_id","Video_title","Published_at","Duration","Video_type","View_count","Like_count","Comment_count"
"0BjlBnfHcHM","Beat Ronaldo, Win $1,000,000",2024-11-30 17:00:00.000,00:22:45,Normal,391322300,8553790,124519
HcL1EQ5qD_g,Confronting Ronaldo,2024-11-29 17:30:10.000,00:00:21,Short,298471248,13788934,36954
dc089EZRGcg,How Many Balloons To Make A Store Fly?,2024-11-18 19:00:00.000,00:00:22,Short,604953625,11329350,15745
vXNtju4VFm4,Restocking MrBeast Labs at Walmart,2024-11-18 17:00:00.000,00:00:36,Short,435716758,6869996,2732
"3dxksf0CzS8",World’s Fastest Robbers,2025-05-02 16:00:00.000,00:00:32,Short,357794718,6412601,16239
I9mw5UlDyPI,This Game Is Wild...,2024-11-12 17:00:00.000,00:00:19,Short,747476067,13717697,10215
Xj0Jtjg3lHQ,"$1 vs $500,000 Experiences!",2024-11-02 16:00:00.000,00:17:40,Normal,289080839,5208203,57130
"9UtcHPCEBgg","1 Subscriber = 1 Penny",2024-10-19 18:00:00.000,00:00:17,Short,449235993,17977126,34612
ZNt_GoOBHq8,Human vs Jet Engine,2024-10-17 19:00:00.000,00:00:19,Short,645225647,14182665,23101
bn0Kh9c4Zv4,"7 Days Exploring An Underground City",2024-10-12 16:00:00.000,00:20:35,Normal,184905896,3810038,35746
dDVFnfCwjHA,Will A Basketball Boat Hold My Weight?,2024-10-11 16:00:01.000,00:00:30,Short,429675088,10528336,8317
Kt2HvqRruHQ,"Find The Real MrBeast, Win $10,000",2024-10-05 16:00:00.000,00:00:37,Short,426345460,11465585,15791
vDrSCXFMAKk,"Spot The Difference, Win $10,000",2024-09-28 20:00:00.000,00:00:58,Short,288936013,8552264,8098
snX5YyflrGw,"100 Identical Twins Fight For $250,000",2024-09-28 16:00:00.000,00:35:40,Normal,205765280,3459330,30015
nbzQdlWrcnk,Running With Bigger And Bigger Lunchlys,2024-09-20 16:00:00.000,00:00:18,Short,390068892,8534909,11807
"8krJy31Diow",Holding Bigger And Bigger Dogs,2024-09-16 18:00:00.000,00:00:17,Short,372415567,8371210,11939
Jo7sfpeWqwE,Will A Guitar Boat Hold My Weight?,2024-09-05 16:00:01.000,00:00:20,Short,773476614,18101702,16015
QtD-CeUdRUQ,"Real Or Cake For $10,000",2024-08-29 16:00:00.000,00:00:37,Short,277902263,8310840,23542
ndAQfTzlVjc,"7 Days Stranded In A Cave",2024-08-17 16:00:00.000,00:17:59,Normal,187666580,4706681,94676
AydS-vA3qa4,Running With Bigger And Bigger Feastables,2024-08-15 23:00:00.000,00:00:17,Short,479316284,12575463,34398
UPrkC1LdlLY,"Survive 100 Days In Nuclear Bunker, Win $500,000",2024-08-03 16:00:00.000,00:32:21,Normal,362509095,6295297,88677
"8bTQMDM4qvY","Spot The Fake Animal For $10,000",2024-07-19 16:00:00.000,00:00:40,Short,716723939,17776768,30443
DBw0oD38z0Q,This Game Is Wild,2024-07-17 16:00:00.000,00:00:21,Short,241291640,6262570,11198
PWirijQkH4M,World’s Deadliest Obstacle Course!,2024-06-15 16:00:01.000,00:28:25,Normal,440869570,6901170,138895
U_LlX4t0A9I,"$10,000 Every Day You Survive In The Wilderness",2024-06-01 16:00:00.000,00:26:10,Normal,394355255,9151796,345755
T8I165Qxeo8,Sprinting with More and More Money,2024-05-30 16:00:01.000,00:00:29,Short,325065971,11969343,86825
i-9V21MqlhY,Giving 1000 Phones Away,2024-05-28 16:00:00.000,00:00:18,Short,394676344,23230426,829745
YyNz4--6fro,World’s Smartest Dog,2024-05-16 16:00:00.000,00:00:12,Short,299091778,10878333,36107
f0cXJ6mJxGc,Bottle Head Smashing World Record Attempt!,2024-05-14 16:00:00.000,00:00:38,Short,556772618,13007450,52975
uyiG6uw-6pA,"Would You Risk Drowning for $500,000?",2025-04-26 16:00:00.000,00:25:46,Normal,214597310,3292028,43747
M1STzb7k9L8,Extreme Helmet Game,2025-04-25 16:15:00.000,00:00:23,Short,275901983,2591486,5625
"7K-yxGWYsnk","$10,000 Human Shuffleboard",2025-04-22 16:30:14.000,00:00:40,Short,648224414,7060257,6303
Tbn4cYCaZCk,"Drift This Car, Win $10,000",2025-04-16 17:00:15.000,00:00:20,Short,575296097,7176162,12136
figrl0aOULs,Click This Video To Feed 1 Person,2025-04-12 16:00:01.000,00:10:29,Normal,78345943,4268200,73511
Uxc84UUrVHk,You Can Stop Child Labor,2025-04-11 16:00:01.000,00:00:58,Short,116035517,4315440,27701
BzKaMelDzqo,How Fast Can I Go?,2025-04-05 16:00:12.000,00:00:18,Short,193121033,2940802,9746
"4yx9ZJDfyKk",Baseball Tic Tac Toe vs MLB Pro,2025-03-27 16:00:00.000,00:00:27,Short,72288401,1593423,7525
"69g-YcbmgQA","Find Your Dog, Win $10,000",2025-03-23 16:00:01.000,00:00:36,Short,648828523,13457589,13335
aKq8bkY5eTU,I Survived The 5 Deadliest Places On Earth,2025-03-22 16:00:00.000,00:13:23,Normal,189770146,3352827,55693
TNtpUQbW4mg,This Is How The Pyramids Were Built,2025-03-18 16:00:00.000,00:00:13,Short,419770713,9011079,26106
"954wJ3uHVAk",Last One To Fall Wins,2025-03-08 18:05:23.000,00:00:30,Short,166091935,4272734,9155
zajUgQLviwk,"Last to Leave Their Circle Wins $500,000",2025-03-01 17:00:01.000,00:38:38,Normal,214952878,3265367,87687
sF5LYGgKbUA,Every Minute One Person Is Eliminated,2025-01-25 17:00:01.000,00:34:46,Normal,176774098,3252588,78298
-4GmbBoYQjE,I Survived 100 Hours In An Ancient Temple,2025-05-10 16:00:01.000,00:15:46,Normal,140311879,3098832,78631
