"Video_id","Video_title","Published_at","Duration","Video_type","View_count","Like_count","Comment_count"
rB9NynBZ4go,Reaction Time Challenge,2025-08-19 16:00:02.000,00:00:29,Short,170394551,2388722,11463
TDv56whosPQ,"Survive 100 Days In Prison, Win $500,000",2025-08-16 19:00:02.000,00:39:36,Normal,160517305,3169970,43638
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15 16:00:01.000,00:00:15,Short,445323318,4846162,26443
vpRW4JhzfSE,"1 Subscriber = 1 Second In The Arctic",2025-08-08 16:00:02.000,00:00:17,Short,108531346,2922933,12681
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19 17:00:41.000,00:00:23,Short,111318506,2592528,14507
hTSaweR8qMI,"$1 vs $500,000 Date",2025-06-07 16:00:00.000,00:17:22,Normal,185368142,3604181,63157
KCRLP-zBacU,Can I Teach a Penguin To Subscribe?,2025-05-31 16:10:27.000,00:00:09,Short,894904692,8537545,21789
c2ukL_zjFCk,Extreme Helmet Game,2025-05-28 16:00:19.000,00:00:32,Short,202116370,3710419,8063
tAwzBYE18Us,How I Became MrBeef,2025-11-16 20:00:02.000,00:00:46,Short,41619519,1512724,19104
oBXSvS2QKxU,"100 Kids Vs World's Strongest Man!",2025-10-11 16:00:00.000,00:27:21,Normal,179376595,2896910,52647
UTdcX1e0cMA,"Jump Over The Lava, Win!",2025-10-10 16:00:01.000,00:01:03,Normal,90237010,2322252,12948
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07 16:00:00.000,00:00:34,Short,145828754,3416809,12576
qXW93Cois2s,Guess What Hit You,2025-08-05 16:00:01.000,00:00:32,Short,101193603,1606182,6851
r7f0L48dHpc,$1  = One Year of Clean Water,2025-08-02 16:00:02.000,00:00:32,Short,172539025,4649329,19933
Z4hVGCWH1Kc,"2,000,000 People Get Clean Water For The First Time!",2025-08-01 16:00:01.000,00:10:20,Normal,115694562,2424228,46954
DZIASl9q90s,"Beat Neymar, Win $500,000",2025-05-24 16:00:01.000,00:27:53,Normal,167445883,3597639,80850
R1SFXJo-FlE,Subscribe To Explode The TNT,2025-07-29 16:00:01.000,00:00:19,Short,379460246,5296182,14447
lQz5aqjZ3lQ,"Find This Briefcase, Win $10,000",2025-07-25 16:00:02.000,00:01:07,Normal,270679870,6452406,19627
EiFcNbXBqeo,Jet Engine vs Human for $10k,2025-07-20 16:00:01.000,00:00:24,Short,166358490,2493003,7479
pzBi1nwDn8U,"Survive 100 Days Trapped In A Private Jet, Keep It",2025-07-19 16:00:01.000,00:33:03,Normal,149487879,3525213,46662
R7oW0LwS_e4,I Met Neymar,2025-07-11 16:15:07.000,00:00:10,Short,120845947,1952746,16727
BfKI_TQnQvo,I Raced A Cheetah,2025-07-06 16:00:01.000,00:00:20,Short,165260733,3360306,14961
FWAdfuPpLOc,World's Fastest Car Vs Cheetah!,2025-07-05 16:00:01.000,00:20:37,Normal,235883752,3535359,47832
NjlP2_l1Wr0,"You Lose, You Get Shot",2025-06-30 16:00:08.000,00:00:36,Short,113169699,1851772,6841
gGcaGdHlt60,"If You Spill, You Lose!",2025-06-25 17:00:08.000,00:00:19,Short,519192150,4231455,8636
"7qY-qalCI2Y","Grab The Rolex, Keep It!",2025-05-21 15:59:50.000,00:00:23,Short,251933380,3518348,10675
pe_ejTiIcSs,"Lose 100 LBs, Win $250,000!",2025-06-21 16:00:01.000,00:36:50,Normal,254432936,6940196,118879
N0pwLtonPdg,Slippery vs Sticky Stairs,2025-05-16 16:00:01.000,00:00:36,Short,890814692,9469892,32119
